"Kind","Operation","Agent_Id","Allocation_Size","Address","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,1048576,"0x00007a01e8600000",85,3270779298694,3270779582669
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,4194304,"0x00007a01ca200000",88,3270779626401,3270780103800
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,56,"0x00007a01fd907000",90,3270780114180,3270780140680
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01fd907000",97,3270780294058,3270780362708
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,532480,"0x00007a01f0100000",102,3270780474839,3270780789041
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,1056768,"0x00007a01e8400000",105,3270780841059,3270781368191
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,2146560,"0x00007a01c9e00000",108,3270781399160,3270781865458
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",1,532480,"0x00007a01c9a00000",111,3270809126436,3270809295454
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",1,1056768,"0x00007a01c9a82000",113,3270809304982,3270809305673
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",1,2146560,"0x00007a01c9400000",115,3270809307757,3270809564511
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,1048576,"0x00007a01c8200000",122,3270836361725,3270836804268
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",0,4194304,"0x00007a00c3200000",541,3271051916889,3271052503644
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01c9a00000",715,3271193888800,3271193893159
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01c9a82000",717,3271193897867,3271193898829
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01c9400000",719,3271193905111,3271193995612
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01f0100000",721,3271194009157,3271194082255
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01e8400000",723,3271194088777,3271194183215
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007a01c9e00000",725,3271194187994,3271194232017
